SS
	Elementos	1°Tiempo en s	2°Tiempo en s	3°Tiempo en s
	10		0.005073	0.005816	0.004696
	100		0.005043	0.006171	0.005847
	1000		0.013671	0.011416	0.011757
	10000		0.646137	0.359814	0.424926
	100000		26.0276		47.2502		27.4026
	1000000		1138.66		1181.7		1078

BS
	Elementos	1°Tiempo en s	2°Tiempo en s	3°Tiempo en s
	10		0.00297		0.004086	0.002078	
	100		0.002823	0.006185	0.005129
	1000		0.00223		0.003131	0.002019
	10000		0.002796	0.003611	0.004785
	100000		0.002257	0.004902	0.004483
	1000000		0.55877		0.54691		0.549026
	10000000	3.4265		3.50018		3.27631
